Platform,Organization,Space,"App Name","Build Pack","Build Pack Version",SDK,"Spring Boot",Angular,React,Dependencies
ap01,org_43,iso,"4029fc83-8c49-48ce-b586-b4a908b0a516",staticfile,1.5.29,,,,,
ap01,org_43,iso,"90bb8457-68f0-4325-b92e-9cabf947b582",python,1.8.5,,,,,
ap01,org_43,iso,"4207d12f-0925-4f5c-a96a-e1fabb707fc1",staticfile,1.6.3,,,,,
ap01,org_43,iso,"02f1bbbb-b513-4e16-b759-7d1f2820b8b8",staticfile,1.6.3,,,,,
ap01,org_43,iso,"d0ab13ec-e015-4f22-9abf-3333ba978d21",staticfile,1.6.3,,,,,
ap01,org_44,prod,"4d066b1e-6a4b-409f-b01f-596528069b2f",staticfile,1.6.17,,,,,
ap01,org_44,prod,"885fe0be-e48f-49cd-a088-68f35e1105b4",staticfile,1.6.17,,,,,
ap01,org_44,prod,"12d11813-85e5-45e7-9876-ae26510d8039",staticfile,1.6.4,,,,,
ap01,org_45,prod,"5283b6db-f433-43ec-a221-7c70f169c782",java,4.73.0,21.0.4,3.3.4,,,
ap01,org_45,prod,"b4495276-cfa4-4bcf-aa9f-8c5f2d616062",java,4.73.0,17.0.12,2.6.7,,,
ap01,org_45,prod,"9d43519f-4f27-4d13-869d-19b44bfa5b0b",java,4.73.0,17.0.12,2.6.7,,,
ap01,org_46,iso,"2c3111ac-05d0-4580-b4e4-d1bb1970b5e4",java,4.47,1.8.0_312,2.0.2.RELEASE,,,
ap01,org_46,iso,"d44a58c0-df1e-46bc-9887-124f0013cd7d",java,4.47,1.8.0_312,2.0.2.RELEASE,,,
ap01,org_2,iso,"ba5c3b39-2c5c-4927-af06-f1108da7fb17",java,4.63.0,1.8.0_392,2.2.0.RELEASE,,,
ap01,org_47,prod,"b0cfea76-fc39-443c-8602-a939b9be9f47",python,1.7.53,,,,,
ap01,org_48,iso,"5b6c1c08-a6e2-47c5-b3c5-839032dd00a1",nodejs,1.8.15,16.20.1,,16.2.7,,
ap01,org_48,iso,"59fbc5b4-a6c4-4d81-acb7-b00062034e8f",java,4.70.0,1.8.0_412,2.1.6.RELEASE,,,
ap01,org_48,iso,"70b8b0af-4d7c-4148-a19b-53157bf8ff76",nodejs,1.8.14,16.20.1,,14.1.3,,
ap01,org_48,iso,"a3fa296e-6388-41e0-a2d4-98e1eca4274a",nodejs,1.8.24,18.19.1,,17.3.9,,
ap01,org_48,iso,"5ff4c90e-f3f9-42eb-b7bf-5f74717fa864",nodejs,1.8.15,16.20.1,,16.2.7,,
ap01,org_48,iso,"92fd4231-a0b7-47c4-be90-50a54a29c83c",nodejs,1.8.24,18.19.1,,17.3.9,,
ap01,org_48,iso,"5a883075-9041-4b71-a8e2-ae02d558e412",nodejs,1.8.14,16.20.1,,14.1.3,,
ap01,org_48,iso,"00dad493-4a61-4709-9adb-df5b70982594",nodejs,1.8.24,18.19.1,,17.3.9,,
ap01,org_48,iso,"6d5dc38a-7a21-4f06-8509-0f508a063e6b",java,4.61.1,1.8.0_382,2.1.6.RELEASE,,,
ap01,org_48,iso,"233be7c7-47b3-4fe7-ac68-82d37fef73db",nodejs,1.8.15,16.20.2,,16.2.7,,
ap01,org_48,iso,"feb78ea9-31f5-41df-8303-de295e3b1317",nodejs,1.8.24,18.19.1,,17.3.9,,
ap01,org_48,iso,"b063c831-afb3-46b7-996e-66c694068613",binary,1.1.7,,,,,
ap01,org_48,iso,"b98b974f-2b7b-41d6-884e-79f3dc81cab2",java,4.73.0,1.8.0_422,2.6.7,,,
ap01,org_48,iso,"6c528e05-35fc-443d-805b-8caefeba7cfb",java,4.73.0,1.8.0_422,2.6.7,,,
ap01,org_48,iso,"00a0fcc3-2703-4995-97d7-00b8ba99bcd1",binary,1.0.42,,,,,
ap01,org_48,iso,"9bd7ff56-99a3-4d41-82b8-ce9c44e74625",java,4.49,1.8.0_332,2.6.6,,,
ap01,org_48,iso,"4ecd52bb-fdbc-482b-ac0d-e97ee44dda3a",java,4.74.0,1.8.0_432,2.2.2.RELEASE,,,
ap01,org_48,iso,"55d946f4-b00c-4897-a325-fd58da8e203f",java,4.73.0,1.8.0_422,2.2.2.RELEASE,,,
ap01,org_48,iso,"0d68e185-3322-473f-a2e2-fd4a2eaf01ea",binary,1.1.7,,,,,
ap01,org_48,iso,"2ce4fd59-8f5b-4263-a4e0-613cc9a0e3d5",binary,1.1.7,,,,,
ap01,org_48,iso,"97478038-d1a5-4eb0-9b53-5acc8315d8f9",binary,1.1.7,,,,,
ap01,org_48,iso,"1ed53f6f-0ecb-4335-a4de-e29f7cabe8d2",java,4.48.2,11.0.14,2.6.6,,,
ap01,org_48,iso,"ec4bf34e-8709-4230-9e4a-320f388bfb4c",nodejs,1.7.34,12.16.1,,9.1.0.2,,
ap01,org_48,iso,"0105e046-7d7e-40a6-a286-162f0f27405f",java,4.57,1.8.0_362,2.2.2.RELEASE,,,
ap01,org_48,iso,"42b39293-b91f-44ea-a701-365c5b97112a",java,4.45,1.8.0_312,2.2.2.RELEASE,,,
ap01,org_48,iso,"6dd02a21-0355-4573-8aca-e0acc5871f18",java,4.46,1.8.0_312,2.1.6.RELEASE,,,
ap01,org_48,iso,"86b6003b-48f8-4bde-a791-a6e3ee56fce6",nodejs,1.8.9,14.20.1,,13.3.12,,
ap01,org_48,iso,"9a0c4076-2391-4e7c-a3dc-3898289f46e4",nodejs,1.8.15,16.20.1,,16.2.7,,
ap01,org_48,iso,"41f6352e-c651-45f3-8bc8-75880fa1e8be",nodejs,1.8.9,14.20.1,,13.3.12,,
ap01,org_48,iso,"6fc71def-4acc-4bcd-b293-ae84899cdf8b",java,4.70.0,1.8.0_412,2.1.6.RELEASE,,,
ap01,org_48,iso,"af0a7bf5-fe8e-4ca6-902b-d861d70b7b50",java,4.70.0,17.0.11,3.1.1,,,
ap01,org_48,iso,"8d094b80-6fe5-426b-9fbd-a19099e5074e",java,4.70.0,17.0.11,3.1.1,,,
ap01,org_48,iso,"9a7c79d1-abcb-4f22-86c1-dfc5e55dce04",java,4.73.0,17.0.12,3.1.1,,,
ap01,org_48,iso,"57494168-4082-49c6-bdd2-49796b63d781",java,4.70.0,17.0.11,3.1.1,,,
ap01,org_48,iso,"88b52883-bf15-43bc-81c5-caf16846da5b",binary,1.1.7,,,,,
ap01,org_48,iso,"d1944ec2-9dae-466a-aeb0-3983dc85faa8",binary,1.1.7,,,,,
ap01,org_48,iso,"8cba78b3-4b28-4e1b-8fbd-23ecc9a57a5f",java,4.47,1.8.0_312,2.0.0.RELEASE,,,
ap01,org_48,iso,"d90d116a-a9de-4ca8-b7f8-ebbc470679d7",java,4.74.0,11.0.25,2.6.6,,,
ap01,org_48,iso,"44897e30-a1e6-4830-8e42-e3a3e1394aa5",java,4.73.0,11.0.24,2.6.6,,,
ap01,org_48,iso,"80025668-3b9d-406c-9263-f7e45d9ab236",java,4.67.0,11.0.22,2.6.10,,,
ap01,org_48,iso,"95041d76-0fb0-4ea2-ab0b-9284273e8e41",java,4.59.0,11.0.19,2.6.10,,,
ap01,org_48,iso,"22c94a66-e20c-44fe-9a26-ce9ecbda55a8",java,4.74.0,17.0.13,3.2.1,,,
ap01,org_48,iso,"159942e9-57e6-4f6c-9bc6-ffe01500fbf6",java,4.74.0,17.0.13,3.2.1,,,
ap01,org_48,iso,"75b97a3f-0070-4a71-ad20-39ed981531b2",binary,1.1.2,,,,,
ap01,org_48,iso,"b5df5c67-a00a-45c1-bc10-1419d2899ad9",java,4.57,1.8.0_362,2.2.2.RELEASE,,,
